date,open,high,low,close,volume
2020-06-19,218.0,218.49,210.0,210.29,3519930.0
2020-06-18,210.07,216.0,208.45,215.29,2481969.0
2020-06-17,211.31,216.62,209.25,211.28,3758023.0
2020-06-16,202.5,210.4,196.74,209.69,4026464.0
2020-06-15,198.19,204.0,193.493,203.3,3539485.0
2020-06-12,193.08,196.3399,188.64,191.89,2571456.0
2020-06-11,199.47,202.78,187.53,188.42,3809261.0
2020-06-10,196.41,205.0,194.0,203.08,2989520.0
2020-06-09,197.98,199.83,193.5994,194.27,1884417.0
2020-06-08,195.25,198.43,189.66,196.73,2384470.0
2020-06-05,185.55,198.9799,182.12,196.71,3053644.0
2020-06-04,201.18,203.1246,191.53,193.05,2897100.0
2020-06-03,199.0,203.28,197.82,200.8,2520552.0
2020-06-02,198.8,202.4,195.3595,201.67,2488811.0
2020-06-01,195.79,202.75,195.24,199.0,2794512.0
2020-05-29,197.52,197.9103,192.03,197.6,2925063.0
2020-05-28,190.33,198.7,189.42,191.4,3148777.0
2020-05-27,189.33,192.98,177.13,192.35,6720344.0
2020-05-26,209.0,209.94,195.0,196.4,6333364.0
2020-05-22,200.17,209.5,196.11,208.62,7133901.0
2020-05-21,192.9,197.3,188.04,194.0,4374101.0
2020-05-20,187.12,192.65,186.31,191.91,5438016.0
2020-05-19,183.05,188.49,180.555,183.24,4363207.0
2020-05-18,189.63,193.7,183.1,183.39,4429525.0
2020-05-15,188.41,195.15,187.8,189.22,5681053.0
2020-05-14,186.07,193.0659,183.7734,191.86,5638747.0
2020-05-13,192.11,195.5453,180.3,187.42,10967855.0
2020-05-12,187.0,197.15,181.6,190.29,11588485.0
2020-05-11,179.98,189.97,179.0,186.61,9732668.0
2020-05-08,167.01,182.39,165.11,179.69,16949564.0
2020-05-07,152.4,176.3699,152.4,170.89,31077133.0
2020-05-06,117.05,123.64,116.51,122.4,5863077.0
2020-05-05,115.28,119.19,114.05,116.57,2583732.0
2020-05-04,106.98,113.92,106.2374,113.25,2425199.0
2020-05-01,109.39,113.69,107.9537,107.98,2692524.0
2020-04-30,111.13,116.84,110.8,112.3,3205707.0
2020-04-29,106.07,111.98,105.4,111.3,2432684.0
